gender,age_range,country,acct_age_weeks,user_id
female,35 - 44,MX,29,84f0677ff49a41beb8876b7a1587d121
male,25 - 29,BR,3,b6456fbae44f4453886dd4ba2e38c696
male,45 - 54,CA,27,2e334d0e117c48c986888145db12e728
male,0 - 17,MX,2,55ff599a8a1b4f9cbcf6890344519c7d
male,18 - 24,GB,208,fa0fa877f9a542de82ae70dab6dcf621
female,55+,GB,44,faa0ddcf75be4749b8f58d8887a063df
female,25 - 29,US,77,1ec367f08e3744e3976b7623f2bc5438
female,0 - 17,ES,42,b14fee9d5eae434b8ba9d2b562f94011
male,25 - 29,US,63,133753a84c4b4c7695b74006bd22b821
male,18 - 24,US,161,2568f67d980a4342806c61bb34bc5e2a
male,18 - 24,ES,2,e7ffa6140ddb4480993a81b85f816802
male,30 - 34,AU,177,52e88c0db6db438b8fdc8e9be2765b39
male,35 - 44,US,21,f5e34fc461be4411b877d70e40de0448
female,18 - 24,US,16,0b9ae83efc55496687b3dec4338d936d
female,18 - 24,AU,5,1f7642919e864aa8ad141e5806622a53
female,18 - 24,CL,31,2e03f17d856345fe9f5b0350dae44edb
male,35 - 44,US,88,d9f52f9597cf4ec29c6970cfb7b95164
female,18 - 24,MX,18,170e5e34e16c49e79b8b44ed9daa8021
male,45 - 54,SE,352,e3e8cbdc0ad149b59f64012b86d33cbf
male,0 - 17,GB,28,09615814b2bb416d888c8e5576df1815
male,30 - 34,NL,126,32ed9b0a79fb49e0a41c14067dceb0dd
male,30 - 34,US,67,01eb744f29a4400489f3eccf349346a6
male,18 - 24,FI,320,1560f1a6694043088d69dca1d95da17a
male,25 - 29,CA,28,1c8f85abbad44a56b537a8d7feca78ec
male,0 - 17,DE,97,09012e697b4c40ee83d54ca0c9f9e39d
male,18 - 24,GB,81,dfa37fa50e0d4c49ad60f9a30a3b9c73
female,18 - 24,US,197,4ffcf09a5394462f8fc784a3a2df3894
female,18 - 24,US,176,3b9756f8de854c639238bdef3066ba87
female,25 - 29,BR,64,38a58987dccf43888d2fd201fd577b4d
male,45 - 54,US,41,7c38c78db27e4c7a997ae0c5c1c0de53
male,35 - 44,ES,270,24dc354b2d36441e8515380ed750f91e
female,18 - 24,CA,0,358f1d06f56e4da785b2dfe022943718
female,30 - 34,GB,14,0e30e84ebbf0482a811f1dc2fe0a1ab2
female,30 - 34,US,77,d1a58c018e854dc78908b21a4ec88575
male,18 - 24,DK,3,bcba8eaf1fd44e419e523ad1d641b885
male,18 - 24,US,57,d81f287152ae44909600d85fefc0956d
male,25 - 29,DE,104,45ec0ab499f6418492ddb6a4f31860eb
male,30 - 34,US,23,539594e1d1db4173bebe2fc02a932289
female,30 - 34,ES,136,8a21d807bb1f43269cc5e02961056df1
female,35 - 44,GB,39,e8af5f05f93c4da38db2cacb4729e3a2
female,18 - 24,US,128,bcceb14aa82f4cd39baf86215854baa8
female,18 - 24,GB,195,69c50cf6ebb746d1aff869bad19f7cde
female,18 - 24,SG,42,ca8abe3da27247969cf830729dd82732
male,0 - 17,IT,1,2f277da81a92456f8a5d1c1b51be553c
male,18 - 24,US,2,483dc15a09004718acd58904f78cf647
female,18 - 24,US,158,f560a2eae14d47e59136f6da337fc028
female,30 - 34,MX,2,25ee42c287c44266bbf974e92dc03bfd
male,35 - 44,FR,6,606bfdf9f0784d3d8cade8bc41e40951
male,35 - 44,BR,6,880bf014166a4ae78cebf34878369c4e
male,0 - 17,IT,78,353c34c2f5a247dba6d0dba58cc1d745
male,25 - 29,NL,41,37ebef9f08ab4bdcbe63152f6c57e664
female,25 - 29,US,9,6ae1ab49594246e49ad46822da102c59
female,30 - 34,US,91,9ceb4135c9c9495884eabba5b585d1d1
female,25 - 29,US,0,a2b4da00e56e486f8ce9889b0b70a5db
male,0 - 17,SE,225,07b9b703bc4e48f5b797c115812d036f
female,18 - 24,ES,187,8cbf363ca3b744c797c1f7e3d7d7e2ff
female,35 - 44,BR,32,f710d62420384e239f82b67f8a5cb05f
male,18 - 24,US,2,4eccd172f5d94dd3a2100bdaae27cb94
female,0 - 17,MX,12,b59cd55b7f4d466d83e5733666ac4afa
female,25 - 29,US,176,51552ff55249435b8ec23b3d4ff30583
female,18 - 24,ES,92,fe8e6d23f6de49e0b269c7d3eec24ca5
